mineid,minename,date,time,narrative,stateabb,company_name
na,Kenilworth mine,3/14/1945,1315,"As the Kenilworth mine (Pre-MSHA numbering) before merged with Castlegate (4200165), a severe bounce, or bump, in the pillar at the inside end of 5 panel, 3 east entry off 2 slope.The immediate roof is sandstone about 4 feet in thickness which is overlain by the massive sandstone which forms the main roof. The maximum cover exceeds 1,500 feet. The floor is hard smooth sandstone. merged the Kenilworth and Castle Gate No. 2 mines into a single entity in 1961. On March 8, 1968, Independent Coal & Coke Company corporation was dissolved according to legendsofamerica.com (Castlegate mine lat long)",UT,Independent Coal & Coke Company
,No. 2 Mine,5/20/1948,2100,Outburst occurred at face area of 19 left section. Just after 4 or 5 blasts.   44 to 84 inches coal bed. Overburden ranges from 0 to 750 ft and was 720 at the bump location. Roof is sandstone and shale but was massive sandstone at the bump location. The floor at the bump location was well-indurated shale. Detailed drill logs 2000 ft away from bump location may be of some use.,VA,Clinchfield Coal Corporation
na,No. 2 Mine,2/9/1953,2040,"A coalburst or bump occurred in a room driven into a remnant main barrier pillar block on the left of the recovery heading between 19 and 20 left.    80 inch thick coal. 1260 ft overburden. immediate roof structure ranging from sandstone to shale from one to four feet thick.  The immediate roof over the affected area is comprised of a strong sandstone, reported to range from 6 to 18 feet in thickness, overlain by as much as 6 feet of shale sandstone with lenticular coal formations, Which in turn is overlain by a stratum of gray massive fine-grained sandstone ranging from 37 to 135 feet or more in thickness.",WV,United States Steel Company
na,Marathon No.1 Mine,10/14/1954,1100,"coal overlain by 10 feet or more of strong thick-bedded fine-grained sand- stone and thin laminated sandy shales then by about 2 feet of hard shaley sandstone which in turn was overlain by 42 feet of gray massive sandstone. Maximum cover is 1500 ft but at the bump it was 500 to 700 ft. The coal outburst occurred in an open-end pillar pocket being driven into the remnant of the last outby pillar block of No. 12 room off 8 right air course, 1 main. 36 to 40 inches thick coal bed at bump location. 3000 psi UCS coal. The floor in the 8 right section shoved little indication of heaving.      1954 Allen, Kenneth - Harlan-Wallins Coal Corporation Marathon Mine       1954 Green, Lewis - Harlan-Wallins Coal Corporation Marathon Mine  Mine is just north of Mine No. 30, Peabody Coal Company map  00525 00527_1958L_19580211_S2OF3.jpg",KY,Harlan-Wallins Coal Corporation
na,No. 31 Mine,1/21/1955,1128,"40 inch coal thickness. A small roof bump occured in the area and caused a piece of rock to fall from the roof. The rock that fell was 14 feet long, 8 feet wide, and varied from a feather edge to 10 inches in thickness. Occurred in the first crosscut between Nos. 1 and 2 rooms in 3 right main barrier pillar off 43 right main entries. Report location is in Kenvir, Kentucky but noted that accident happened in Lee County, Virginia. Portion of mine is in Lee County, Virginia. Map 00527_1958L_19580211_S1OF3.jpg downloaded from Kentucky minemaps.ky.gov State file name 00527",KY,Peabody Coal Company
na,No. 2 Mine,6/15/1956,1055,A coal outburst occurred at No. 3 room in the barrier pillar 18 left off recovery mains. 78 inch thick coal in the outburst area.  Roof is 150 ft of massive sandstone. The floor is hard shale that resisted heaving. 1440 overburden.,WV,United States Steel Company
na,No. 27 mine,12/7/1956,1130,"A coal outburst occurred  in No. 3 room right off of 5 butt left, 4 south main. Coal thickness 42 to 48 inches thick. 468 ft overburden.  Floor is firm shale resistant to heaving. Roof is alternating shale and sandstone beds to the surface. ",WV,Island Creek Coal Company
4200093,Sunnyside No. 1 Mine,6/6/1957,1930,"A severe bump occurred and the shot firer was killed instantly by a fall of roof rock and timbers in the top entry of the First Left section extending 11-feet wide by 14-feet long by 6-feet high, including 3 rows of bolts.",UT,Kaiser Steel Corp.
na,Tierney Mine,9/20/1957,1645,Pillar 15 ft wide by 20 ft long.   At 545 examined. Blasting solid at least 10 shots before roof fall.  Not sure if this was a burst or just a roof fall. Miners were ready to blast two more holes to break the coal using one or one half stick in each hole.,WV,PREMIER POCAHONTAS COAL COMPANY
na,Mary Helen Nos 2 and 3 Mines,10/18/1957,2045,"Coal mine bump (outburst) 12 tons coal thrown from rib. occured along a pillar rib between Nos. 2 and 3 rooms, 11 right face. 42 inch thick seam. Immediate roof is 25 ft thick sandstone. Floor is hard dense shale. 1600 ft overburden. ",KY,Mary Hellen Coal Corporation
